Dataset;;;Running Time (s);Tau Min;Tau Max;MAE Min;MAE Max;RMSE Min;RMSE Max
oregon1_010526:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;493.92673206329346;;;;;;
;;Brandes Sampled 20%;101.9433344126 (avg 10 runs);0.967362063304345;0.969023991865987;0,0000276088729964058;0,000030605647119968;0,000131869341544294;0,000162002301234643
;;Brandes Sampled 40%;196.5976538181 (avg 10 runs);0.975902213308581;0.976804160561867;0,0000182952679956935;0,0000196084189609251;0,000079881620524946;0,00010493342884062
;;Brandes Sampled 60%;300.0894232512 (avg 10 runs);0.983114090293299;0.983938206803351;0,0000119840328088671;0,0000133167486795078;0,0000565692472746641;0,0000723011715978707
;;Brandes Sampled 80%;387.1847661734 (avg 10 runs);0.990467681824988;0.991119990081579;0,00000690670260560484;0,00000761989651098211;0,0000325981308395892;0,0000394648841783675
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.0341269016 (avg 10 runs);0.67468633227635;0.784594770331213;0,000222730200953158;0,000233510460856176;0,00388813458948465;0,00408120386885637
;;Riondato;0.0865932465 (avg 10 runs);0.0465985017865368;0.0865521441712249;0,000225740695199731;0,000233150601485823;0,00385060251724501;0,00405908101240502
;;Kadabra;0.0173739195 (avg 10 runs);0.141126498574511;0.1759911865425873;0,000221209627806344;0,000225276857926103;0,00381754851165596;0,00391770713853374
;;Bergamini;0.349938488 (avg 10 runs);0.0660110655083775;0.09254348624693476;0,00022781308763776;0,000231085465328323;0,00396379783522638;0,00404608399853508
;;;;;;;;;
mol_yeast_spliceosome:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;0.09766077995300293;;;;;;
;;Brandes Sampled 20%;0.0197141171 (avg 10 runs);0.753199551150676;0.936014976187247;0,000669838387983263;0,00155898448546508;0,00122619337002063;0,00464843473178942
;;Brandes Sampled 40%;0.0387637377 (avg 10 runs);0.827095470323353;0.881561238223419;0,000713146488573075;0,000824104623325733;0,00144809768153147;0,00196452131851895
;;Brandes Sampled 60%;0.0574714899 (avg 10 runs);0.85464333781965;0.912537626866761;0,000438888195215746;0,000634368033075035;0,000919725719152074;0,00133922017716041
;;Brandes Sampled 80%;0.0917607784 (avg 10 runs);0.891559315516247;0.943087867717747;0,000246198471075956;0,000377621196670134;0,000422884958626937;0,00102268091353704
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.0041787863 (avg 10 runs);0.0360224407272171;0.0963071888230532;0,00595872742405542;0,00721480366636816;0,0111428528405405;0,01518972137431
;;Riondato;0.006500721(avg 10 runs);0.0158470533531269;0.160057347160295;0,00594299763725302;0,00663484698594891;0,0113579217028535;0,0134662555812959
;;Kadabra;0.002182126 (avg 10 runs);0.465382525701919;0.63758480923934;0,00262830621398802;0,00367583445156406;0,00479937038660909;0,00681474618724609
;;Bergamini;0,0347721577 (avg 10 runs);0.0446590182627102;0.156655251061906;0,00555969197003519;0,00712049740483885;0,0112871557150652;0,0131112070743288
;;;;;;;;;
email-Eu-core:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;3.626274347305298;;;;;;
;;Brandes Sampled 20%;0.6691099405 (avg 10 runs);0.8909020049909132;0.902458004829956;0,000287556550084196;0,000349359461139468;0,000710319461444783;0,000924722649952214
;;Brandes Sampled 40%;1.3631823063 (avg 10 runs);0.923004636200869;0.9343688517003799;0,000195757117097654;0,000218858154842148;0,000467876375118754;0,000533336416684714
;;Brandes Sampled 60%;1.9193614721 (avg 10 runs);0.947428377759595;0.956647791358273;0,000127460888169904;0,000148218329235287;0,000304729283159692;0,00041116771832297
;;Brandes Sampled 80%;2.4082506895 (avg 10 runs);0.967761975176576;0.9751571650416894;0,0000760792829114785;0,0000915788542213212;0,000194869552317992;0,000265582699006163
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.0331102133 (avg 10 runs);0.810171900605444;0.826340418197661;0,000505175403616126;0,0007277095401015;0,00145995545423353;0,00241144391246499
;;Riondato;0.0276380539 (avg 10 runs);0.46195681296649;0.488327428595889;0,00106355978900224;0,00114979819483336;0,00242766057697448;0,00308089942733901
;;Kadabra;0.0190804243 (avg 10 runs);0.655855535772358;0.7472021991193426;0,0017938582380974;0,00201202676487926;0,00554232574717272;0,00650123820371847
;;Bergamini;0.1256507635 (avg 10 runs);0.459280968862268;0.50745513109689;0,00106964275514849;0,00119345031454674;0,00239383658390133;0,00293523479437566
;;;;;;;;;
bio-CE-CX:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;400.10647797584534;;;;;;
;;Brandes Sampled 20%;83.7134674788 (avg 10 runs);0.866808349820435;0.871614821789094;0,00000959782170084014;0,0000100370346907018;0,0000237388948955324;0,0000248123904149325
;;Brandes Sampled 40%;164.01281569 (avg 10 runs);0.906309143549342;0.911137083725852;0,00000617739241471939;0,00000645782797219551;0,000014492506671846;0,0000153707383680199
;;Brandes Sampled 60%;226.5155939817 (avg 10 runs);0.936123170371786;0.941790190233254;0,00000416886999098747;0,00000427015383571691;0,00000979400805400868;0,0000101997263297611
;;Brandes Sampled 80%;274.4910057545 (avg 10 runs);0.966373291319116;0.969209343730307;0,00000244601554936041;0,00000254663868136708;0,00000589717358510807;0,00000641599821601665
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.5474741459 (avg 10 runs);0.545067479770082;0.5517314912626966;0,000141503488508019;0,000168402855283145;0,00044995240464491;0,000599986887354293
;;Riondato;1.6165998459 (avg 10 runs);0.267367890910695;0.279284148248944;0,000198960712970671;0,000205088153962695;0,000554765206741878;0,000574618447625654
;;Kadabra;0.0673404694 (avg 10 runs);0.322445903704236;0.374380652866219;0,000353378331029267;0,000366207020338945;0,000879818976715029;0,00100914562789953
;;Bergamini;1.5704639196 (avg 10 runs);0.142943662327865;0.16513413999657622;0,000214494160167486;0,000233883587750873;0,00098007783064504;0,00106561102230007
;;;;;;;;;
yeastinter_st:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;0.1370408535003662;;;;;;
;;Brandes Sampled 20%;0.0081641674 (avg 10 runs);0.391997605849971;0.732523839755278;0,00000147292429123633;0,00000299863874376122;0,0000111209280322682;0,0000268061507872837
;;Brandes Sampled 40%;0.0156965256 (avg 10 runs);0.618514218556311;0.963720394970745;0,00000102101063131357;0,00000182307145424473;0,00000827446695546005;0,0000150115808989764
;;Brandes Sampled 60%;0.0250998259 (avg 10 runs);0.72613283288886;0.948614219147002;6,35297959849028E-07;0,00000117049689157083;0,00000429349813000121;0,00000916590726985968
;;Brandes Sampled 80%;0.0321261883 (avg 10 runs);0.923366246084345;0.999663656737292;3,45308845981381E-07;0,00000106996396397706;0,00000252469236922731;0,00000950300305918272
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.0081944942 (avg 10 runs);0.239661101109521;0.257318242534618;0,00523702860248255;0,00610575792867017;0,0171137240455366;0,0196839385849718
;;Riondato;0.0142019272 (avg 10 runs);0.225886996465519;0.280711374669823;0,00539430069364663;0,00579074053858472;0,0176145861561515;0,0187622323607834
;;Kadabra;0.0081307173 (avg 10 runs);0.250392585832174;0.283322336397296;0,0111149784410629;0,0114556567734746;0,0357448616466207;0,0373033265047634
;;Bergamini;0.0763801336 (avg 10 runs);0.234659017972076;0.286145034284769;0,00535893814912287;0,00586858131416145;0,0173505612319744;0,0187354377292723
;;;;;;;;;
p2p-Gnutella24:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;779.6693120002747;;;;;;
;;Brandes Sampled 20%;154.4304781437 (avg 5 runs);0.973379293577149;0.974074844611787;0,0000102365098391198;0,0000105192139373584;0,0000311011868944307;0,0000333485525860618
;;Brandes Sampled 40%;285.7314633846 (avg 5 runs);0.981591577630515;0.982803688319833;0,00000637982701510997;0,0000067494808121541;0,0000189888371600615;0,0000206675690404077
;;Brandes Sampled 60%;432.8760082722 (avg 5 runs);0.988036591842248;0.988547825933519;0,00000419897485948345;0,00000432361634850258;0,0000126010578102105;0,0000131038714073525
;;Brandes Sampled 80%;579.1294064999 (avg 5 runs);0.993160129541384;0.993537385411687;0,00000249955640142326;0,00000270412372715488;0,00000764522168372248;0,000008697489243601
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.4303720236 (avg 10 runs);0.643909134861059;0.647403983469953;0,000117296087940623;0,000122181949346988;0,00113581471287709;0,00150656914319905
;;Riondato;0.5354156256 (avg 10 runs);0.288337462954743;0.301163555000481;0,000198915044724638;0,00020518144960444;0,00124465844737632;0,00148242390664823
;;Kadabra;0.0397766352 (avg 10 runs);0.509948181155578;0.60028842866617;0,000306295217196423;0,000325375896412182;0,00237795842164508;0,00278810064491322
;;Bergamini;2.0953053951 (avg 10 runs);0.288672526911908;0.304310519247783;0,000200214254298724;0,000204416161873142;0,00116689630850795;0,00151259403905883
;;;;;;;;;
mc_mullen:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;0.014398813247680664;;;;;;
;;Brandes Sampled 20%;0.002899766 (avg 10 runs);0.885827720665478;0.943508681005442;0,00211908684153429;0,00357067241549265;0,00549543634302682;0,0112975977992156
;;Brandes Sampled 40%;0.0051180363 (avg 10 runs);0.933585428494438;0.954910598600674;0,00113573903523759;0,00232658607627934;0,00282162843898067;0,00720019727029618
;;Brandes Sampled 60%;0.0078881264 (avg 10 runs);0.957501943508681;0.976677895827935;0,000782060436004391;0,00130507088882209;0,00211201207187225;0,00439221533261737
;;Brandes Sampled 80%;0.011065793 (avg 10 runs);0.969940399067116;0.991189427312775;0,000530025430844268;0,000794953428942016;0,00126898552168928;0,00244386661937388
;;;;;;;;;
;NetworKit:;;;;;;;;
;;Geisberger;0.0008238554 (avg 10 runs);0.932019009990253;0.967349054159109;0,00102054768770868;0,0019652339722288;0,00256180216143119;0,00576136462587712
;;Riondato;0.0004821062 (avg 10 runs);0.702327085167395;0.762016346875764;0,00165419995185787;0,00241809049852033;0,00342442453582392;0,00603968840005195
;;Kadabra;0.0004742146 (avg 10 runs);0.918134250979249;0.94478775014076;0,0122007355344391;0,0129310345304191;0,0746399353150348;0,0778356285134226
;;Bergamini;0.0027396202 (avg 10 runs);0.707849270741824;0.804256140917759;0,00151378179803609;0,00216451778844602;0,00301984371875504;0,00537355924881546
;;;;;;;;;
USairport500:;;;;;;;;;
;NetworkX:;;;;;;;;
;;Brandes Exact;1.085608959197998;;;;;;
;;Brandes Sampled 20%;0.0922129631 (avg 10 runs);0.910936590932282;0.927581924165288;0,000659627935754964;0,000908680852598801;0,00218708256848826;0,0037853901628954
;;Brandes Sampled 40%;0.1990560055 (avg 10 runs);0.939419577067689;0.949283160211426;0,000415126616347033;0,000634037556929737;0,00132172616938417;0,0025003240875144
;;Brandes Sampled 60%;0.3274080753 (avg 10 runs);0.962471800041973;0.968275119629366;0,000274385858079091;0,000402636848264448;0,000933373307762361;0,00161398359673878
