Exact_Brandes_NetworkX,../../Data/USairport500.txt,1.085608959197998,NetworkX_Results/10-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_20_0,../../Data/USairport500.txt,0.09294939041137695,NetworkX_Results/10-12-2023_networkx_approximation_20_0.json,0.0007978389459667913,0.00294860819769079
Approximation_Brandes_NetworkX_20_1,../../Data/USairport500.txt,0.0936272144317627,NetworkX_Results/10-12-2023_networkx_approximation_20_1.json,0.000908680852598801,0.003785390162895396
Approximation_Brandes_NetworkX_20_2,../../Data/USairport500.txt,0.09052181243896484,NetworkX_Results/10-12-2023_networkx_approximation_20_2.json,0.000763014444949056,0.002719402183953776
Approximation_Brandes_NetworkX_20_3,../../Data/USairport500.txt,0.0913853645324707,NetworkX_Results/10-12-2023_networkx_approximation_20_3.json,0.0008528703389974066,0.0032811109682469104
Approximation_Brandes_NetworkX_20_4,../../Data/USairport500.txt,0.09563183784484863,NetworkX_Results/10-12-2023_networkx_approximation_20_4.json,0.0008063063224268185,0.003145328140527656
Approximation_Brandes_NetworkX_20_5,../../Data/USairport500.txt,0.09325551986694336,NetworkX_Results/10-12-2023_networkx_approximation_20_5.json,0.0008327039793783143,0.0032488521559358783
Approximation_Brandes_NetworkX_20_6,../../Data/USairport500.txt,0.08973097801208496,NetworkX_Results/10-12-2023_networkx_approximation_20_6.json,0.0008414266563513455,0.0028609015790628206
Approximation_Brandes_NetworkX_20_7,../../Data/USairport500.txt,0.09116315841674805,NetworkX_Results/10-12-2023_networkx_approximation_20_7.json,0.0006929939416646497,0.0023362195714997235
Approximation_Brandes_NetworkX_20_8,../../Data/USairport500.txt,0.0922083854675293,NetworkX_Results/10-12-2023_networkx_approximation_20_8.json,0.0006596279357549639,0.0021870825684882564
Approximation_Brandes_NetworkX_20_9,../../Data/USairport500.txt,0.09165596961975098,NetworkX_Results/10-12-2023_networkx_approximation_20_9.json,0.0007522519075406699,0.002666676808042785
Approximation_Brandes_NetworkX_40_0,../../Data/USairport500.txt,0.19517159461975098,NetworkX_Results/10-12-2023_networkx_approximation_40_0.json,0.0005379141592378048,0.0018577774657484963
Approximation_Brandes_NetworkX_40_1,../../Data/USairport500.txt,0.20782756805419922,NetworkX_Results/10-12-2023_networkx_approximation_40_1.json,0.00041512661634703275,0.0013217261693841673
Approximation_Brandes_NetworkX_40_2,../../Data/USairport500.txt,0.18952393531799316,NetworkX_Results/10-12-2023_networkx_approximation_40_2.json,0.0006340375569297367,0.002500324087514397
Approximation_Brandes_NetworkX_40_3,../../Data/USairport500.txt,0.21379518508911133,NetworkX_Results/10-12-2023_networkx_approximation_40_3.json,0.0005073705748438146,0.0017416688859511651
Approximation_Brandes_NetworkX_40_4,../../Data/USairport500.txt,0.18966984748840332,NetworkX_Results/10-12-2023_networkx_approximation_40_4.json,0.000561376572950063,0.0022825640567696844
Approximation_Brandes_NetworkX_40_5,../../Data/USairport500.txt,0.20908904075622559,NetworkX_Results/10-12-2023_networkx_approximation_40_5.json,0.0005400404187733079,0.001931487440234593
Approximation_Brandes_NetworkX_40_6,../../Data/USairport500.txt,0.18620705604553223,NetworkX_Results/10-12-2023_networkx_approximation_40_6.json,0.0005401075900432901,0.0019084955682502518
Approximation_Brandes_NetworkX_40_7,../../Data/USairport500.txt,0.2112441062927246,NetworkX_Results/10-12-2023_networkx_approximation_40_7.json,0.0005153637890957754,0.0021487515514161735
Approximation_Brandes_NetworkX_40_8,../../Data/USairport500.txt,0.19198226928710938,NetworkX_Results/10-12-2023_networkx_approximation_40_8.json,0.0004920665758242542,0.0016371803570195457
Approximation_Brandes_NetworkX_40_9,../../Data/USairport500.txt,0.19604945182800293,NetworkX_Results/10-12-2023_networkx_approximation_40_9.json,0.0004648300568804491,0.0015605641368891042
Approximation_Brandes_NetworkX_60_0,../../Data/USairport500.txt,0.3077406883239746,NetworkX_Results/10-12-2023_networkx_approximation_60_0.json,0.0003479774409996409,0.0012270102527538844
Approximation_Brandes_NetworkX_60_1,../../Data/USairport500.txt,0.3165309429168701,NetworkX_Results/10-12-2023_networkx_approximation_60_1.json,0.00033501979338899056,0.00114552769874986
Approximation_Brandes_NetworkX_60_2,../../Data/USairport500.txt,0.3442685604095459,NetworkX_Results/10-12-2023_networkx_approximation_60_2.json,0.00029020371980873703,0.0009541886906828292
Approximation_Brandes_NetworkX_60_3,../../Data/USairport500.txt,0.34323716163635254,NetworkX_Results/10-12-2023_networkx_approximation_60_3.json,0.0002887389632036746,0.000933373307762361
Approximation_Brandes_NetworkX_60_4,../../Data/USairport500.txt,0.31952476501464844,NetworkX_Results/10-12-2023_networkx_approximation_60_4.json,0.00040263684826444767,0.0016139835967387836
Approximation_Brandes_NetworkX_60_5,../../Data/USairport500.txt,0.32711148262023926,NetworkX_Results/10-12-2023_networkx_approximation_60_5.json,0.00027438585807909073,0.00101144677929572
Approximation_Brandes_NetworkX_60_6,../../Data/USairport500.txt,0.3012685775756836,NetworkX_Results/10-12-2023_networkx_approximation_60_6.json,0.0003300231740744639,0.00105111901787449
Approximation_Brandes_NetworkX_60_7,../../Data/USairport500.txt,0.299929141998291,NetworkX_Results/10-12-2023_networkx_approximation_60_7.json,0.00030125896591548295,0.0010341632256513186
Approximation_Brandes_NetworkX_60_8,../../Data/USairport500.txt,0.3523895740509033,NetworkX_Results/10-12-2023_networkx_approximation_60_8.json,0.0003624953209293544,0.0012691559353762082
Approximation_Brandes_NetworkX_60_9,../../Data/USairport500.txt,0.3620798587799072,NetworkX_Results/10-12-2023_networkx_approximation_60_9.json,0.0003651552627958632,0.0012659268250034476
Approximation_Brandes_NetworkX_80_0,../../Data/USairport500.txt,0.4607656002044678,NetworkX_Results/10-12-2023_networkx_approximation_80_0.json,0.000203121044710016,0.0007178692838741519
Approximation_Brandes_NetworkX_80_1,../../Data/USairport500.txt,0.4574441909790039,NetworkX_Results/10-12-2023_networkx_approximation_80_1.json,0.00016531938865046062,0.0006093631866802539
Approximation_Brandes_NetworkX_80_2,../../Data/USairport500.txt,0.4088258743286133,NetworkX_Results/10-12-2023_networkx_approximation_80_2.json,0.0001777410678176957,0.000617988139047022
Approximation_Brandes_NetworkX_80_3,../../Data/USairport500.txt,0.4451866149902344,NetworkX_Results/10-12-2023_networkx_approximation_80_3.json,0.00018520637352836694,0.0006571214713847292
Approximation_Brandes_NetworkX_80_4,../../Data/USairport500.txt,0.4269440174102783,NetworkX_Results/10-12-2023_networkx_approximation_80_4.json,0.0001852009432894784,0.0006713772092387691
Approximation_Brandes_NetworkX_80_5,../../Data/USairport500.txt,0.42083168029785156,NetworkX_Results/10-12-2023_networkx_approximation_80_5.json,0.00020301208149831943,0.0008718788064371765
Approximation_Brandes_NetworkX_80_6,../../Data/USairport500.txt,0.4315369129180908,NetworkX_Results/10-12-2023_networkx_approximation_80_6.json,0.00019113620442131113,0.0006939152300065645
Approximation_Brandes_NetworkX_80_7,../../Data/USairport500.txt,0.39789509773254395,NetworkX_Results/10-12-2023_networkx_approximation_80_7.json,0.00018422919440933843,0.0006644568766098938
Approximation_Brandes_NetworkX_80_8,../../Data/USairport500.txt,0.49810004234313965,NetworkX_Results/10-12-2023_networkx_approximation_80_8.json,0.00020337489027893508,0.0006978399890600662
Approximation_Brandes_NetworkX_80_9,../../Data/USairport500.txt,0.3953993320465088,NetworkX_Results/10-12-2023_networkx_approximation_80_9.json,0.0001846613951089867,0.0006528887961288658
