Exact_Brandes_NetworkX,mol_yeast_spliceosome_snap.txt,0.09766077995300293,NetworkX_Results/07-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_20_0,mol_yeast_spliceosome_snap.txt,0.019364356994628906,NetworkX_Results/07-12-2023_networkx_approximation_20_0.json,0.0015589844854650844,0.004648434731789418
Approximation_Brandes_NetworkX_20_1,mol_yeast_spliceosome_snap.txt,0.020151376724243164,NetworkX_Results/07-12-2023_networkx_approximation_20_1.json,0.0006698383879832627,0.0012261933700206285
Approximation_Brandes_NetworkX_20_2,mol_yeast_spliceosome_snap.txt,0.018610000610351562,NetworkX_Results/07-12-2023_networkx_approximation_20_2.json,0.0008908324869231693,0.001614883257995847
Approximation_Brandes_NetworkX_20_3,mol_yeast_spliceosome_snap.txt,0.01879286766052246,NetworkX_Results/07-12-2023_networkx_approximation_20_3.json,0.0008757129114413669,0.0016818662509723763
Approximation_Brandes_NetworkX_20_4,mol_yeast_spliceosome_snap.txt,0.019650936126708984,NetworkX_Results/07-12-2023_networkx_approximation_20_4.json,0.0011641153026900057,0.004132860972674625
Approximation_Brandes_NetworkX_20_5,mol_yeast_spliceosome_snap.txt,0.01984691619873047,NetworkX_Results/07-12-2023_networkx_approximation_20_5.json,0.0014805053710384827,0.0035273620867567715
Approximation_Brandes_NetworkX_20_6,mol_yeast_spliceosome_snap.txt,0.019955873489379883,NetworkX_Results/07-12-2023_networkx_approximation_20_6.json,0.0009332019656681569,0.0017307962826770469
Approximation_Brandes_NetworkX_20_7,mol_yeast_spliceosome_snap.txt,0.019448518753051758,NetworkX_Results/07-12-2023_networkx_approximation_20_7.json,0.0014769851908415874,0.004262909406108047
Approximation_Brandes_NetworkX_20_8,mol_yeast_spliceosome_snap.txt,0.020682573318481445,NetworkX_Results/07-12-2023_networkx_approximation_20_8.json,0.0009244029062461656,0.0016552630862894137
Approximation_Brandes_NetworkX_20_9,mol_yeast_spliceosome_snap.txt,0.02063775062561035,NetworkX_Results/07-12-2023_networkx_approximation_20_9.json,0.0011206635564230375,0.0019095383864349519
Approximation_Brandes_NetworkX_40_0,mol_yeast_spliceosome_snap.txt,0.0398714542388916,NetworkX_Results/07-12-2023_networkx_approximation_40_0.json,0.000713146488573075,0.0014480976815314747
Approximation_Brandes_NetworkX_40_1,mol_yeast_spliceosome_snap.txt,0.03875994682312012,NetworkX_Results/07-12-2023_networkx_approximation_40_1.json,0.0008044042646480553,0.0018629834493258577
Approximation_Brandes_NetworkX_40_2,mol_yeast_spliceosome_snap.txt,0.03799748420715332,NetworkX_Results/07-12-2023_networkx_approximation_40_2.json,0.0007260242709033641,0.0014542943811187274
Approximation_Brandes_NetworkX_40_3,mol_yeast_spliceosome_snap.txt,0.03914904594421387,NetworkX_Results/07-12-2023_networkx_approximation_40_3.json,0.000738279546512907,0.001518066492410284
Approximation_Brandes_NetworkX_40_4,mol_yeast_spliceosome_snap.txt,0.03925371170043945,NetworkX_Results/07-12-2023_networkx_approximation_40_4.json,0.0008241046233257325,0.0018389184966845504
Approximation_Brandes_NetworkX_40_5,mol_yeast_spliceosome_snap.txt,0.0382380485534668,NetworkX_Results/07-12-2023_networkx_approximation_40_5.json,0.0008069062012778335,0.0016800458091517764
