Exact_Brandes_NetworkX,../Data/oregon1_010526.txt,493.92673206329346,NetworkX_Results/06-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_20_0,../Data/oregon1_010526.txt,102.69799613952637,NetworkX_Results/06-12-2023_networkx_approximation_20_0.json,3.038280260564199e-05,0.00014737336944347046
Approximation_Brandes_NetworkX_20_1,../Data/oregon1_010526.txt,104.2121832370758,NetworkX_Results/06-12-2023_networkx_approximation_20_1.json,2.9952016972240166e-05,0.00014972840800719488
Approximation_Brandes_NetworkX_20_2,../Data/oregon1_010526.txt,107.07148218154907,NetworkX_Results/06-12-2023_networkx_approximation_20_2.json,3.0165286957617414e-05,0.00015377078459135978
Approximation_Brandes_NetworkX_20_3,../Data/oregon1_010526.txt,103.34637689590454,NetworkX_Results/06-12-2023_networkx_approximation_20_3.json,3.0514203009113717e-05,0.00015471527160466867
Approximation_Brandes_NetworkX_20_4,../Data/oregon1_010526.txt,109.74009323120117,NetworkX_Results/06-12-2023_networkx_approximation_20_4.json,3.060564711996799e-05,0.00016200230123464304
Approximation_Brandes_NetworkX_20_5,../Data/oregon1_010526.txt,101.053964138031,NetworkX_Results/06-12-2023_networkx_approximation_20_5.json,2.9063835483479742e-05,0.00014290755225312464
Approximation_Brandes_NetworkX_20_6,../Data/oregon1_010526.txt,97.22061896324158,NetworkX_Results/06-12-2023_networkx_approximation_20_6.json,2.7608872996405804e-05,0.00013186934154429361
Approximation_Brandes_NetworkX_20_7,../Data/oregon1_010526.txt,96.43338298797607,NetworkX_Results/06-12-2023_networkx_approximation_20_7.json,3.0046978391031495e-05,0.00015337509447414726
Approximation_Brandes_NetworkX_20_8,../Data/oregon1_010526.txt,97.34655523300171,NetworkX_Results/06-12-2023_networkx_approximation_20_8.json,3.0278363758231402e-05,0.00015928546641822046
Approximation_Brandes_NetworkX_20_9,../Data/oregon1_010526.txt,100.31069111824036,NetworkX_Results/06-12-2023_networkx_approximation_20_9.json,2.9408355574052526e-05,0.00016094975967821494
Approximation_Brandes_NetworkX_40_0,../Data/oregon1_010526.txt,197.90444898605347,NetworkX_Results/06-12-2023_networkx_approximation_40_0.json,1.960841896092511e-05,0.00010493342884062002
Approximation_Brandes_NetworkX_40_1,../Data/oregon1_010526.txt,211.95062494277954,NetworkX_Results/06-12-2023_networkx_approximation_40_1.json,1.8633905864331127e-05,7.988162052494595e-05
Approximation_Brandes_NetworkX_40_2,../Data/oregon1_010526.txt,208.08504915237427,NetworkX_Results/06-12-2023_networkx_approximation_40_2.json,1.8295267995693535e-05,8.238585342196518e-05
Approximation_Brandes_NetworkX_40_3,../Data/oregon1_010526.txt,204.60186290740967,NetworkX_Results/06-12-2023_networkx_approximation_40_3.json,1.8417282548020378e-05,8.811065441953532e-05
Approximation_Brandes_NetworkX_40_4,../Data/oregon1_010526.txt,208.49117588996887,NetworkX_Results/06-12-2023_networkx_approximation_40_4.json,1.918416553759047e-05,9.713247557418743e-05
Approximation_Brandes_NetworkX_40_5,../Data/oregon1_010526.txt,187.88055205345154,NetworkX_Results/06-12-2023_networkx_approximation_40_5.json,1.9026546029265162e-05,8.57077426523098e-05
Approximation_Brandes_NetworkX_40_6,../Data/oregon1_010526.txt,186.90103816986084,NetworkX_Results/06-12-2023_networkx_approximation_40_6.json,1.9336446306207238e-05,0.0001033721895453123
Approximation_Brandes_NetworkX_40_7,../Data/oregon1_010526.txt,187.03120589256287,NetworkX_Results/06-12-2023_networkx_approximation_40_7.json,1.8512996282271022e-05,8.543534493896533e-05
Approximation_Brandes_NetworkX_40_8,../Data/oregon1_010526.txt,186.62231707572937,NetworkX_Results/06-12-2023_networkx_approximation_40_8.json,1.8785528384410438e-05,8.686091930460277e-05
Approximation_Brandes_NetworkX_40_9,../Data/oregon1_010526.txt,186.5082631111145,NetworkX_Results/06-12-2023_networkx_approximation_40_9.json,1.87637453345207e-05,9.40957298478447e-05
Approximation_Brandes_NetworkX_60_0,../Data/oregon1_010526.txt,280.091078042984,NetworkX_Results/06-12-2023_networkx_approximation_60_0.json,1.1984032808867083e-05,5.986947329278461e-05
Approximation_Brandes_NetworkX_60_1,../Data/oregon1_010526.txt,288.3455832004547,NetworkX_Results/06-12-2023_networkx_approximation_60_1.json,1.3166423669700002e-05,6.799052699960956e-05
Approximation_Brandes_NetworkX_60_2,../Data/oregon1_010526.txt,287.5013430118561,NetworkX_Results/06-12-2023_networkx_approximation_60_2.json,1.2549659574790631e-05,5.8908323968270334e-05
Approximation_Brandes_NetworkX_60_3,../Data/oregon1_010526.txt,315.7583100795746,NetworkX_Results/06-12-2023_networkx_approximation_60_3.json,1.2508931432934961e-05,5.8028095168957134e-05
Approximation_Brandes_NetworkX_60_4,../Data/oregon1_010526.txt,309.65159487724304,NetworkX_Results/06-12-2023_networkx_approximation_60_4.json,1.3316748679507786e-05,6.744277830051073e-05
Approximation_Brandes_NetworkX_60_5,../Data/oregon1_010526.txt,313.530818939209,NetworkX_Results/06-12-2023_networkx_approximation_60_5.json,1.2594386095035461e-05,6.337225860765019e-05
Approximation_Brandes_NetworkX_60_6,../Data/oregon1_010526.txt,310.64020466804504,NetworkX_Results/06-12-2023_networkx_approximation_60_6.json,1.2037279496523927e-05,5.6569247274664076e-05
Approximation_Brandes_NetworkX_60_7,../Data/oregon1_010526.txt,303.6003589630127,NetworkX_Results/06-12-2023_networkx_approximation_60_7.json,1.2669614945160735e-05,6.49631273034743e-05
Approximation_Brandes_NetworkX_60_8,../Data/oregon1_010526.txt,307.72181582450867,NetworkX_Results/06-12-2023_networkx_approximation_60_8.json,1.2583286699586358e-05,6.107075870434709e-05
Approximation_Brandes_NetworkX_60_9,../Data/oregon1_010526.txt,284.05312490463257,NetworkX_Results/06-12-2023_networkx_approximation_60_9.json,1.237469114793265e-05,7.230117159787073e-05
Approximation_Brandes_NetworkX_80_0,../Data/oregon1_010526.txt,375.6262788772583,NetworkX_Results/06-12-2023_networkx_approximation_80_0.json,7.124804060000001e-06,3.6071425566411653e-05
Approximation_Brandes_NetworkX_80_1,../Data/oregon1_010526.txt,374.77034616470337,NetworkX_Results/06-12-2023_networkx_approximation_80_1.json,7.44521263297921e-06,3.610869103782342e-05
