Exact_Brandes_NetworkX,../../Data/yeastinter_st.txt,0.1370408535003662,NetworkX_Results/09-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_20_0,../../Data/yeastinter_st.txt,0.008809566497802734,NetworkX_Results/09-12-2023_networkx_approximation_20_0.json,1.974464591171441e-06,1.3778241428732145e-05
Approximation_Brandes_NetworkX_20_1,../../Data/yeastinter_st.txt,0.0078122615814208984,NetworkX_Results/09-12-2023_networkx_approximation_20_1.json,2.157282885339627e-06,1.610979011686138e-05
Approximation_Brandes_NetworkX_20_2,../../Data/yeastinter_st.txt,0.007994890213012695,NetworkX_Results/09-12-2023_networkx_approximation_20_2.json,2.141659699013716e-06,1.6027997806502642e-05
Approximation_Brandes_NetworkX_20_3,../../Data/yeastinter_st.txt,0.007764339447021484,NetworkX_Results/09-12-2023_networkx_approximation_20_3.json,1.4729242912363322e-06,1.1120928032268181e-05
Approximation_Brandes_NetworkX_20_4,../../Data/yeastinter_st.txt,0.008274078369140625,NetworkX_Results/09-12-2023_networkx_approximation_20_4.json,2.4985617105569283e-06,2.2378916110571614e-05
Approximation_Brandes_NetworkX_20_5,../../Data/yeastinter_st.txt,0.008257865905761719,NetworkX_Results/09-12-2023_networkx_approximation_20_5.json,2.006296270515588e-06,1.527029818040452e-05
Approximation_Brandes_NetworkX_20_6,../../Data/yeastinter_st.txt,0.007815122604370117,NetworkX_Results/09-12-2023_networkx_approximation_20_6.json,1.843828639803631e-06,1.3962145303575032e-05
Approximation_Brandes_NetworkX_20_7,../../Data/yeastinter_st.txt,0.007884025573730469,NetworkX_Results/09-12-2023_networkx_approximation_20_7.json,1.581498682662654e-06,1.1518428848979363e-05
Approximation_Brandes_NetworkX_20_8,../../Data/yeastinter_st.txt,0.008356571197509766,NetworkX_Results/09-12-2023_networkx_approximation_20_8.json,1.7314272430813362e-06,1.6049026795765888e-05
Approximation_Brandes_NetworkX_20_9,../../Data/yeastinter_st.txt,0.008672952651977539,NetworkX_Results/09-12-2023_networkx_approximation_20_9.json,2.9986387437612243e-06,2.680615078728368e-05
Approximation_Brandes_NetworkX_40_0,../../Data/yeastinter_st.txt,0.015706539154052734,NetworkX_Results/09-12-2023_networkx_approximation_40_0.json,1.230876316108947e-06,9.271952513936549e-06
Approximation_Brandes_NetworkX_40_1,../../Data/yeastinter_st.txt,0.016056299209594727,NetworkX_Results/09-12-2023_networkx_approximation_40_1.json,1.3682148067841007e-06,1.1796465931451548e-05
Approximation_Brandes_NetworkX_40_2,../../Data/yeastinter_st.txt,0.015365123748779297,NetworkX_Results/09-12-2023_networkx_approximation_40_2.json,1.2078968479239565e-06,1.025818537765306e-05
Approximation_Brandes_NetworkX_40_3,../../Data/yeastinter_st.txt,0.015539884567260742,NetworkX_Results/09-12-2023_networkx_approximation_40_3.json,1.1819678433150266e-06,8.48837333700838e-06
Approximation_Brandes_NetworkX_40_4,../../Data/yeastinter_st.txt,0.015889406204223633,NetworkX_Results/09-12-2023_networkx_approximation_40_4.json,1.0210106313135726e-06,8.280217387382162e-06
Approximation_Brandes_NetworkX_40_5,../../Data/yeastinter_st.txt,0.015535593032836914,NetworkX_Results/09-12-2023_networkx_approximation_40_5.json,1.3695493879036777e-06,1.1261564989156274e-05
Approximation_Brandes_NetworkX_40_6,../../Data/yeastinter_st.txt,0.015716075897216797,NetworkX_Results/09-12-2023_networkx_approximation_40_6.json,1.4116728054257974e-06,1.0972656469243692e-05
Approximation_Brandes_NetworkX_40_7,../../Data/yeastinter_st.txt,0.015599727630615234,NetworkX_Results/09-12-2023_networkx_approximation_40_7.json,1.0843079072706661e-06,8.274466955460051e-06
Approximation_Brandes_NetworkX_40_8,../../Data/yeastinter_st.txt,0.016174793243408203,NetworkX_Results/09-12-2023_networkx_approximation_40_8.json,1.823071454244732e-06,1.5011580898976388e-05
Approximation_Brandes_NetworkX_40_9,../../Data/yeastinter_st.txt,0.015381813049316406,NetworkX_Results/09-12-2023_networkx_approximation_40_9.json,1.7651125027659472e-06,1.3782605342982857e-05
Approximation_Brandes_NetworkX_60_0,../../Data/yeastinter_st.txt,0.024942636489868164,NetworkX_Results/09-12-2023_networkx_approximation_60_0.json,7.691126642165309e-07,5.901142987764599e-06
Approximation_Brandes_NetworkX_60_1,../../Data/yeastinter_st.txt,0.022845983505249023,NetworkX_Results/09-12-2023_networkx_approximation_60_1.json,1.1704968915708328e-06,9.03601020101186e-06
Approximation_Brandes_NetworkX_60_2,../../Data/yeastinter_st.txt,0.02416229248046875,NetworkX_Results/09-12-2023_networkx_approximation_60_2.json,6.352979598490281e-07,4.29349813000121e-06
Approximation_Brandes_NetworkX_60_3,../../Data/yeastinter_st.txt,0.024324893951416016,NetworkX_Results/09-12-2023_networkx_approximation_60_3.json,9.077481713146598e-07,6.807163371836583e-06
Approximation_Brandes_NetworkX_60_4,../../Data/yeastinter_st.txt,0.0342710018157959,NetworkX_Results/09-12-2023_networkx_approximation_60_4.json,1.1333078419345742e-06,9.165907269859683e-06
